# alpha,mean_a,sigma
0.000000000000000000e+00,4.996291995235391248e-01,3.457095147689033698e+00
1.000000000000000000e+00,3.334413925625904773e-01,2.440876362902109076e+00
2.000000000000000000e+00,2.500469745885046113e-01,1.794705608606585567e+00
3.000000000000000000e+00,1.999624289123223819e-01,1.309236057508216255e+00
4.000000000000000000e+00,1.665256142381119353e-01,9.145538974548371725e-01
5.000000000000000000e+00,1.428637951839919484e-01,5.882276469351366277e-01
6.000000000000000000e+00,1.248974055483688395e-01,3.046070122334714747e-01
