q_sim,chi_eff_sim,chi_eff_90cl
8.432123973791264548e-01,-2.366433293157326201e-01,4.210365122746251298e-01
4.574535927374020483e-01,1.951981763760935740e-01,2.561233049105161586e-01
9.124674219136267306e-01,-3.404165893432786749e-01,4.588895746383607199e-01
4.242846989585731254e-01,4.055918300954798605e-02,2.927662851676953726e-01
3.962309058047570054e-01,1.259481170084921636e-03,2.987996373319466437e-01
1.471134905708968987e-01,5.214226521178415563e-01,1.989839739588178946e-01
3.692841171000550982e-01,-1.589169084419016498e-01,4.783361921451593224e-01
8.250189619512621197e-01,-4.303343473850083090e-01,5.152257348485906885e-01
5.686942032146626858e-01,2.344148102857997462e-01,1.924806280352709398e-01
5.947059733438211371e-01,-2.439805170337631945e-02,2.281154779807181843e-01
5.388922992178131199e-01,7.455709424789185025e-02,2.131031440193954241e-01
5.700479668714983905e-01,-2.560678588412245715e-01,3.773248138975361377e-01
7.345992014628371924e-01,1.942247907049660660e-01,2.239085621644936464e-01
9.448122019963943741e-01,5.663387261289330732e-02,2.290485084026496199e-01
2.427673025312858945e-01,1.038265170857742836e-01,4.184871820701212553e-01
3.119507037193457455e-01,-2.762257238667578108e-01,6.660089793765732180e-01
2.204310025993509448e-01,-8.719338199639853348e-02,4.191643109995678573e-01
9.461889881801586188e-01,1.300027426476263979e-02,2.228566181175370975e-01
8.884758882664071100e-01,6.870830987675092816e-01,9.199789416150272459e-02
9.350460027597261303e-02,4.405545071728227957e-01,1.719065000501092122e-01
2.752733974956657059e-01,6.079254473440331985e-02,3.322311551361917248e-01
8.381425758986289498e-01,2.258639647090134595e-01,1.784714387197568752e-01
6.221352093753019785e-01,-1.435330902811236542e-01,3.666443960678605896e-01
5.294599930616982197e-01,5.621688032835099325e-01,1.052621490962031281e-01
8.817423165009520281e-01,1.162530140150375702e-01,2.133701979633537416e-01
2.358543958239895655e-01,3.862475216913656140e-01,2.513105585847691392e-01
6.471232946586096269e-01,1.823013656904776125e-01,2.932645705848134776e-01
5.345137164816536890e-01,-3.268917317044128107e-02,3.402875468132595116e-01
2.738734979916217505e-01,-1.517630533672999493e-01,4.940855107329586993e-01
2.885861005059351392e-01,6.199032175142157181e-02,3.859265727121693468e-01
4.629505968226708679e-01,1.662050014231789274e-01,2.802499941806878558e-01
6.722960998938423138e-01,4.374968460180020391e-01,1.254847812634882209e-01
2.734003024924497316e-01,3.082778438371066021e-01,1.835526113092502409e-01
3.367594965031267540e-01,2.983898304956798531e-01,2.499344022827914569e-01
3.191385026431147187e-01,2.666891780397270470e-02,3.680091181220498386e-01
1.684174009640628522e-01,5.531779884762162425e-01,9.456740103229899219e-02
8.207896223867674479e-01,2.113232169732377763e-01,2.034327643262230090e-01
3.380793961406522441e-01,3.592540862308420402e-01,2.531098611641500740e-01
6.192132901767579689e-01,5.130484619266663382e-03,2.667728394975635298e-01
7.672564036584552660e-01,3.976505731499688223e-01,1.461234162968844119e-01
3.714061962242871107e-01,6.782410212721702580e-02,3.231527900297083145e-01
2.487425989145327088e-01,1.231575701326581840e-01,3.417199473666256426e-01
5.948135317573758352e-01,-3.246758218728656997e-01,4.231839443627277153e-01
3.429514935644237816e-01,9.352680174768111809e-02,3.201659055355720596e-01
3.275597086540592007e-01,-1.260266476184064011e-01,5.582295804731943756e-01
1.519446001758879006e-01,-2.270978778709178691e-01,4.527008632880996641e-01
9.588877238544809556e-01,1.210417822719519754e-01,1.660983483229950819e-01
7.977633804436412568e-01,6.147258358730822714e-02,2.231803449263468631e-01
2.962387961385748447e-01,1.415378215637971560e-01,2.433114870553151898e-01
3.713303054599346731e-01,2.336403032848639177e-02,3.327688080643013135e-01
1.516405985771984988e-01,-1.120258300384770617e-01,6.313322657706083030e-01
4.682362066405971746e-01,-3.843754692553585928e-02,3.597699300413897960e-01
2.372271012620874586e-01,-4.080185073593444178e-01,5.277538793560090369e-01
5.732971908247785908e-01,-9.266388645897087606e-02,3.056279952968217750e-01
2.220197039240847381e-01,1.365111514784167479e-02,5.514039367026238869e-01
6.432459124478611123e-01,1.197951014985804974e-01,2.665900263826775363e-01
9.357375389282430733e-01,-2.272884353864549623e-01,8.391504970582419620e-02
1.642698956194861282e-01,3.780975374289227142e-01,3.065936731594954279e-01
1.529185019668592160e-01,1.670174323246400028e-01,5.598532624483179010e-01
8.987195583299920632e-01,1.561701245488859302e-01,1.815502941091701183e-01
2.809916992776082534e-01,4.231622907562464508e-01,1.757018006040979019e-01
6.551535211352986776e-01,-3.515926163228915574e-02,3.541234010026929613e-01
5.745858073578952174e-01,1.934970021997590717e-01,7.768772589679084906e-02
5.418963004265376915e-01,-7.888947528579615120e-02,3.238695513778879764e-01
8.408869928427860352e-02,-8.666811366032625696e-02,4.919575075947669185e-01
3.935162027532135287e-01,2.527562561175832334e-01,2.039447385186528294e-01
6.699323242234915821e-01,7.233066454252284026e-03,2.898926783298899634e-01
7.875701072748186871e-01,7.779306104859325111e-02,2.802804224748986495e-01
8.070849083774529475e-01,-8.214848501477842180e-02,3.456903547457801373e-01
7.641009335755966081e-01,-4.023012585499695648e-01,3.565161393571655846e-01
2.176751052171065071e-01,-4.437973913887816590e-01,3.447059287682320838e-01
5.205250886975968383e-01,-2.020857300493682507e-01,4.668736348685075255e-01
3.013271046053187519e-01,-8.801542545036525333e-02,4.867403159584562378e-01
6.051377921970536589e-01,-1.732474351941155621e-01,3.350889930873465206e-01
2.429132072343921089e-01,4.585299814788097450e-01,1.682604212600125604e-01
6.280199141766789062e-01,-2.028956193946154785e-01,4.143392928988337554e-01
9.802279684346279498e-02,3.321832384124297488e-01,5.748625839274721372e-01
3.705383995878535064e-01,5.597779643896945156e-01,1.141184546528401511e-01
3.789198960164069652e-01,1.379986583221357033e-01,2.812513615386426080e-01
6.121603061120826084e-01,-1.875732122763365539e-01,3.634136084087156160e-01
3.319246045240839549e-01,-3.986985596193446529e-02,3.885366553968787051e-01
5.788462849406760258e-01,-2.191549095192202867e-01,4.413568844063727736e-01
7.109767089367350357e-01,-2.686539174462759458e-02,2.623848618072619487e-01
2.849678048916978734e-01,4.054347418419973481e-01,1.389151017795299814e-01
2.844136083987399699e-01,-1.036105864825293960e-01,6.050014565422038304e-01
6.024828942817859190e-01,7.278616002146240938e-01,9.789692539693328754e-02
3.255404943099563519e-01,4.774163978690920684e-01,1.559536689528271403e-01
4.768040112489726479e-01,2.132599278328374537e-01,1.878777976425572427e-01
4.620406138896435144e-01,-5.977857491441390669e-02,3.607158453837603918e-01
9.605413323112412805e-01,9.923844140266097069e-02,2.245629518430297122e-01
1.113480977169034880e-01,1.235427782383180378e-01,7.355892717733467645e-01
4.956913028567070389e-01,2.211025419554055182e-01,1.837696871251892350e-01
2.581988939325176036e-01,7.634391615872174186e-02,4.214274447718501793e-01
4.974557135155937004e-01,-1.036822419415786706e-01,3.526580147365545592e-01
2.442202949987507254e-01,8.483493871096207256e-03,4.688764715218006196e-01
9.126052648489882957e-01,2.836391942711238290e-01,1.542584324764201265e-01
4.151042981506224971e-01,2.066832435467665374e-01,1.565244109558782959e-01
