# fi,prior,high,flat,low
3.503503503503503647e-02,1.000000000000000000e+00,1.860935850873483301e-04,6.619496895978076341e-03,5.718742993967180360e-02
3.603603603603603572e-02,1.000000000000000000e+00,1.980989145429761119e-04,6.799121755379539285e-03,5.793195362178021196e-02
3.703703703703703498e-02,1.000000000000000000e+00,2.103315985305171840e-04,6.982870702809356248e-03,5.868470880248261023e-02
3.803803803803804118e-02,1.000000000000000000e+00,2.235113616172893034e-04,7.164826539786267774e-03,5.947977080658873456e-02
3.903903903903904044e-02,1.000000000000000000e+00,2.371800148481342265e-04,7.354503270949890210e-03,6.027029378373552349e-02
4.004004004004003969e-02,1.000000000000000000e+00,2.511669861467736567e-04,7.546797195967632800e-03,6.103018316419957234e-02
4.104104104104103895e-02,1.000000000000000000e+00,2.656420687847506974e-04,7.748502059265016499e-03,6.178900987426361874e-02
4.204204204204203821e-02,1.000000000000000000e+00,2.812323813331686216e-04,7.960936062244428416e-03,6.260098380519460437e-02
4.304304304304304440e-02,1.000000000000000000e+00,2.969145152699737803e-04,8.156574064789900644e-03,6.337271513365765052e-02
4.404404404404404366e-02,1.000000000000000000e+00,3.133066957361612401e-04,8.360288552166675671e-03,6.413265220424092805e-02
4.504504504504504292e-02,1.000000000000000000e+00,3.296653879887920095e-04,8.556584931879567327e-03,6.487465062328778842e-02
4.604604604604604912e-02,1.000000000000000000e+00,3.468613357298360876e-04,8.757305136457622929e-03,6.564717045001397522e-02
4.704704704704704837e-02,1.000000000000000000e+00,3.646899905316835491e-04,8.966458673367913579e-03,6.643842447336839596e-02
4.804804804804804763e-02,1.000000000000000000e+00,3.836359208338862561e-04,9.174345593982046257e-03,6.721433112710414881e-02
4.904904904904904689e-02,1.000000000000000000e+00,4.030408850037531330e-04,9.392770932765035288e-03,6.803126729145231311e-02
5.005005005005004615e-02,1.000000000000000000e+00,4.231480623659780857e-04,9.613675731591516879e-03,6.884337292389350327e-02
5.105105105105105234e-02,1.000000000000000000e+00,4.434490724096851297e-04,9.834684576859696950e-03,6.967082239407755562e-02
5.205205205205205160e-02,1.000000000000000000e+00,4.644787130777616540e-04,1.005899953542602025e-02,7.047839519055063007e-02
5.305305305305305086e-02,1.000000000000000000e+00,4.862513211558284836e-04,1.029457226040659916e-02,7.130686905900286698e-02
5.405405405405405705e-02,1.000000000000000000e+00,5.089827730326369802e-04,1.052884477571294775e-02,7.212887857787246559e-02
5.505505505505505631e-02,1.000000000000000000e+00,5.318218880433038531e-04,1.076356213699653820e-02,7.293405896880553185e-02
5.605605605605605557e-02,1.000000000000000000e+00,5.561960039875078190e-04,1.099506111127600445e-02,7.377889780072034720e-02
5.705705705705705483e-02,1.000000000000000000e+00,5.807605996644984395e-04,1.124071333571111109e-02,7.462911338873172429e-02
5.805805805805805409e-02,1.000000000000000000e+00,6.067761572070468111e-04,1.148335473793743282e-02,7.550984158976351002e-02
5.905905905905906028e-02,1.000000000000000000e+00,6.324764515678606668e-04,1.172764476074664858e-02,7.637556068889546357e-02
6.006006006006005954e-02,1.000000000000000000e+00,6.592756538395320694e-04,1.197086386464874322e-02,7.724269612921313977e-02
6.106106106106105880e-02,1.000000000000000000e+00,6.874392675176217455e-04,1.222922616714628569e-02,7.810516795013715263e-02
6.206206206206206499e-02,1.000000000000000000e+00,7.158726094957717709e-04,1.247921595437656746e-02,7.895734716136666720e-02
6.306306306306305731e-02,1.000000000000000000e+00,7.456977932565052140e-04,1.274949228079343654e-02,7.984056927419366789e-02
