truth,FI_med,FI_uncert_plus,FI_uncert_minus,FA_med,FA_uncert_plus,FA_uncert_minus,HI_med,HI_uncert_plus,HI_uncert_minus,HA_med,HA_uncert_plus,HA_uncert_minus,LI_med,LI_uncert_plus,LI_uncert_minus,LA_med,LA_uncert_plus,LA_uncert_minus
FI,1,0,0,12855353143104346e-30,6471055209519582e-26,12854727329388938e-30,0.42299777509660974,0.5209992798762244,0.19583775848388996,293443405765556e-42,30415814040055096e-39,29344325226903806e-44,0.8330847975899414,1.8916931232785454,0.6539496266526477,21843990544410605e-25,4915468089120422e-21,21840807957396534e-25
FA,16321354488632182e-21,0.005416893797811833,1624341509965793e-20,1,0,0,0.0009132552033660841,0.0791037694822897,0.0008980552883359256,7419000276133756e-21,0.00011963734214245181,71387080418373715e-22,12184537326946212e-25,5159718769069192e-21,12180348417966456e-25,1.224463830650246,22.469345193194716,1.1525528522862358
HI,1.17117196363725,1.526421779080471,0.7174903752016489,11620328947494943e-29,4767530040062036e-25,11619830818096638e-29,1,0,0,13792386196549451e-42,4553384111762319e-36,13792378052183767e-42,0.25584340453539944,2.754417621381368,0.2390044868976871,7388763224088631e-24,13678857303197511e-21,7388274416127018e-24
HA,6396907287228753e-23,27448118799377923e-21,6377162246740577e-23,336.74862781982097,2247.1640243120028,283.1408178283025,4770503257930304e-20,0.00807332772900344,47329311040618616e-21,1,0,0,1092206086237117e-29,5041119446404375e-26,10919491126830984e-30,0.6290580135177106,55.00191720775219,0.6222693199744583
LI,0.33728100016989637,0.6175583214805285,0.18789343369165099,7630378052884595e-31,20657291743511352e-28,7625372911359045e-31,0.07326856078092758,0.2897214344122617,0.05313702001779778,52260486930129e-44,3455715288567379e-41,52259584924896505e-47,1,0,0,5622277405985717e-25,5047801941614757e-22,5616066529911087e-25
LA,0.005098249776684672,0.11813799748365442,0.004837334275625704,0.001607415541135959,0.014543823342824749,0.0013762946388931841,0.015880625391485655,0.15260199725147638,0.013639056139752009,1188028063547395e-26,2312661253002878e-24,11798601761084792e-27,9584545331631008e-20,0.009741372010623691,9535988205650378e-20,1,0,0
