a,pa_low,pa_flat,pa_high
0,2,1,0
0.001001001001001001,1.997997997997998,1,0.002002002002002002
0.002002002002002002,1.995995995995996,1,0.004004004004004004
0.003003003003003003,1.993993993993994,1,0.006006006006006006
0.004004004004004004,1.991991991991992,1,0.008008008008008008
0.005005005005005005,1.98998998998999,1,0.01001001001001001
0.006006006006006006,1.987987987987988,1,0.012012012012012012
0.007007007007007007,1.985985985985986,1,0.014014014014014014
0.008008008008008008,1.983983983983984,1,0.016016016016016016
0.009009009009009009,1.981981981981982,1,0.018018018018018018
0.01001001001001001,1.97997997997998,1,0.02002002002002002
0.011011011011011011,1.977977977977978,1,0.022022022022022022
0.012012012012012012,1.975975975975976,1,0.024024024024024024
0.013013013013013013,1.973973973973974,1,0.026026026026026026
0.014014014014014014,1.971971971971972,1,0.028028028028028028
0.015015015015015015,1.96996996996997,1,0.03003003003003003
0.016016016016016016,1.967967967967968,1,0.03203203203203203
0.01701701701701702,1.965965965965966,1,0.03403403403403404
0.018018018018018018,1.9639639639639639,1,0.036036036036036036
0.01901901901901902,1.961961961961962,1,0.03803803803803804
0.02002002002002002,1.95995995995996,1,0.04004004004004004
0.021021021021021023,1.957957957957958,1,0.042042042042042045
0.022022022022022022,1.955955955955956,1,0.044044044044044044
0.023023023023023025,1.9539539539539539,1,0.04604604604604605
0.024024024024024024,1.951951951951952,1,0.04804804804804805
0.025025025025025027,1.94994994994995,1,0.05005005005005005
0.026026026026026026,1.947947947947948,1,0.05205205205205205
0.02702702702702703,1.945945945945946,1,0.05405405405405406
0.028028028028028028,1.9439439439439439,1,0.056056056056056056
0.02902902902902903,1.941941941941942,1,0.05805805805805806
0.03003003003003003,1.93993993993994,1,0.06006006006006006
0.031031031031031032,1.937937937937938,1,0.062062062062062065
0.03203203203203203,1.935935935935936,1,0.06406406406406406
0.03303303303303303,1.9339339339339339,1,0.06606606606606606
0.03403403403403404,1.931931931931932,1,0.06806806806806807
0.035035035035035036,1.92992992992993,1,0.07007007007007007
0.036036036036036036,1.927927927927928,1,0.07207207207207207
0.037037037037037035,1.925925925925926,1,0.07407407407407407
0.03803803803803804,1.9239239239239239,1,0.07607607607607608
0.03903903903903904,1.921921921921922,1,0.07807807807807808
0.04004004004004004,1.91991991991992,1,0.08008008008008008
0.04104104104104104,1.917917917917918,1,0.08208208208208208
0.042042042042042045,1.9159159159159158,1,0.08408408408408409
0.043043043043043044,1.9139139139139139,1,0.08608608608608609
0.044044044044044044,1.911911911911912,1,0.08808808808808809
0.04504504504504504,1.90990990990991,1,0.09009009009009009
0.04604604604604605,1.907907907907908,1,0.0920920920920921
0.04704704704704705,1.9059059059059058,1,0.0940940940940941
0.04804804804804805,1.9039039039039038,1,0.0960960960960961
0.04904904904904905,1.901901901901902,1,0.0980980980980981
0.05005005005005005,1.8998998998999,1,0.1001001001001001
0.05105105105105105,1.897897897897898,1,0.1021021021021021
0.05205205205205205,1.8958958958958958,1,0.1041041041041041
0.05305305305305305,1.8938938938938938,1,0.1061061061061061
0.05405405405405406,1.8918918918918919,1,0.10810810810810811
0.055055055055055056,1.88988988988989,1,0.11011011011011011
0.056056056056056056,1.887887887887888,1,0.11211211211211211
0.057057057057057055,1.8858858858858858,1,0.11411411411411411
0.05805805805805806,1.8838838838838838,1,0.11611611611611612
0.05905905905905906,1.8818818818818819,1,0.11811811811811812
0.06006006006006006,1.87987987987988,1,0.12012012012012012
0.06106106106106106,1.877877877877878,1,0.12212212212212212
0.062062062062062065,1.8758758758758758,1,0.12412412412412413
0.06306306306306306,1.8738738738738738,1,0.12612612612612611
0.06406406406406406,1.8718718718718719,1,0.12812812812812813
0.06506506506506507,1.86986986986987,1,0.13013013013013014
0.06606606606606606,1.867867867867868,1,0.13213213213213212
0.06706706706706707,1.8658658658658658,1,0.13413413413413414
0.06806806806806807,1.8638638638638638,1,0.13613613613613615
0.06906906906906907,1.8618618618618619,1,0.13813813813813813
0.07007007007007007,1.85985985985986,1,0.14014014014014015
0.07107107107107107,1.857857857857858,1,0.14214214214214213
0.07207207207207207,1.8558558558558558,1,0.14414414414414414
0.07307307307307308,1.8538538538538538,1,0.14614614614614616
0.07407407407407407,1.8518518518518519,1,0.14814814814814814
0.07507507507507508,1.84984984984985,1,0.15015015015015015
0.07607607607607608,1.8478478478478477,1,0.15215215215215216
0.07707707707707707,1.8458458458458458,1,0.15415415415415415
0.07807807807807808,1.8438438438438438,1,0.15615615615615616
0.07907907907907907,1.8418418418418419,1,0.15815815815815815
0.08008008008008008,1.83983983983984,1,0.16016016016016016
0.08108108108108109,1.8378378378378377,1,0.16216216216216217
0.08208208208208208,1.8358358358358358,1,0.16416416416416416
0.08308308308308308,1.8338338338338338,1,0.16616616616616617
0.08408408408408409,1.8318318318318318,1,0.16816816816816818
0.08508508508508508,1.82982982982983,1,0.17017017017017017
0.08608608608608609,1.8278278278278277,1,0.17217217217217218
0.08708708708708708,1.8258258258258258,1,0.17417417417417416
0.08808808808808809,1.8238238238238238,1,0.17617617617617617
0.0890890890890891,1.8218218218218218,1,0.1781781781781782
0.09009009009009009,1.8198198198198199,1,0.18018018018018017
0.09109109109109109,1.8178178178178177,1,0.18218218218218218
0.0920920920920921,1.8158158158158157,1,0.1841841841841842
0.09309309309309309,1.8138138138138138,1,0.18618618618618618
0.0940940940940941,1.8118118118118118,1,0.1881881881881882
0.09509509509509509,1.8098098098098099,1,0.19019019019019018
0.0960960960960961,1.8078078078078077,1,0.1921921921921922
0.0970970970970971,1.8058058058058057,1,0.1941941941941942
